Value,Greenup,MidGreenup,Maturity,Peak,Senescence,MidGreendown,Dormancy
0,Best,Best,Best,Best,Best,Best,Best
1,Good,Best,Best,Best,Best,Best,Best
2,Fair,Best,Best,Best,Best,Best,Best
3,Poor,Best,Best,Best,Best,Best,Best
5,Good,Good,Best,Best,Best,Best,Best
6,Fair,Good,Best,Best,Best,Best,Best
7,Poor,Good,Best,Best,Best,Best,Best
10,Fair,Fair,Best,Best,Best,Best,Best
11,Poor,Fair,Best,Best,Best,Best,Best
13,Good,Poor,Best,Best,Best,Best,Best
14,Fair,Poor,Best,Best,Best,Best,Best
60,Best,Poor,Poor,Best,Best,Best,Best
768,Best,Best,Best,Best,Poor,Best,Best
960,Best,Best,Best,Poor,Poor,Best,Best
1023,Poor,Poor,Poor,Poor,Poor,Best,Best
1024,Best,Best,Best,Best,Best,Good,Best
2016,Best,Best,Fair,Poor,Poor,Good,Best
3072,Best,Best,Best,Best,Best,Poor,Best
3073,Good,Best,Best,Best,Best,Poor,Best
3074,Fair,Best,Best,Best,Best,Poor,Best
3840,Best,Best,Best,Best,Poor,Poor,Best
4080,Best,Best,Poor,Poor,Poor,Poor,Best
4096,Best,Best,Best,Best,Best,Best,Good
4097,Good,Best,Best,Best,Best,Best,Good
4098,Fair,Best,Best,Best,Best,Best,Good
4099,Poor,Best,Best,Best,Best,Best,Good
4106,Fair,Fair,Best,Best,Best,Best,Good
5121,Good,Best,Best,Best,Best,Good,Good
6144,Best,Best,Best,Best,Best,Fair,Good
6905,Good,Fair,Poor,Poor,Fair,Fair,Good
7168,Best,Best,Best,Best,Best,Poor,Good
7170,Fair,Best,Best,Best,Best,Poor,Good
7171,Poor,Best,Best,Best,Best,Poor,Good
8192,Best,Best,Best,Best,Best,Best,Fair
8193,Good,Best,Best,Best,Best,Best,Fair
8194,Fair,Best,Best,Best,Best,Best,Fair
8195,Poor,Best,Best,Best,Best,Best,Fair
8197,Good,Good,Best,Best,Best,Best,Fair
8199,Poor,Good,Best,Best,Best,Best,Fair
8202,Fair,Fair,Best,Best,Best,Best,Fair
8203,Poor,Fair,Best,Best,Best,Best,Fair
9216,Best,Best,Best,Best,Best,Good,Fair
9217,Good,Best,Best,Best,Best,Good,Fair
9218,Fair,Best,Best,Best,Best,Good,Fair
10240,Best,Best,Best,Best,Best,Fair,Fair
11264,Best,Best,Best,Best,Best,Poor,Fair
12288,Best,Best,Best,Best,Best,Best,Poor
12289,Good,Best,Best,Best,Best,Best,Poor
12290,Fair,Best,Best,Best,Best,Best,Poor
12291,Poor,Best,Best,Best,Best,Best,Poor
12293,Good,Good,Best,Best,Best,Best,Poor
12294,Fair,Good,Best,Best,Best,Best,Poor
12295,Poor,Good,Best,Best,Best,Best,Poor
12296,Best,Fair,Best,Best,Best,Best,Poor
12297,Good,Fair,Best,Best,Best,Best,Poor
12298,Fair,Fair,Best,Best,Best,Best,Poor
12299,Poor,Fair,Best,Best,Best,Best,Poor
12300,Best,Poor,Best,Best,Best,Best,Poor
12301,Good,Poor,Best,Best,Best,Best,Poor
12302,Fair,Poor,Best,Best,Best,Best,Poor
13312,Best,Best,Best,Best,Best,Good,Poor
13313,Good,Best,Best,Best,Best,Good,Poor
13314,Fair,Best,Best,Best,Best,Good,Poor
13315,Poor,Best,Best,Best,Best,Good,Poor
13316,Best,Good,Best,Best,Best,Good,Poor
13317,Good,Good,Best,Best,Best,Good,Poor
13318,Fair,Good,Best,Best,Best,Good,Poor
13322,Fair,Fair,Best,Best,Best,Good,Poor
14336,Best,Best,Best,Best,Best,Fair,Poor
14337,Good,Best,Best,Best,Best,Fair,Poor
14338,Fair,Best,Best,Best,Best,Fair,Poor
14339,Poor,Best,Best,Best,Best,Fair,Poor
14342,Fair,Good,Best,Best,Best,Fair,Poor
14343,Poor,Good,Best,Best,Best,Fair,Poor
14345,Good,Fair,Best,Best,Best,Fair,Poor
14346,Fair,Fair,Best,Best,Best,Fair,Poor
15360,Best,Best,Best,Best,Best,Poor,Poor
15361,Good,Best,Best,Best,Best,Poor,Poor
15362,Fair,Best,Best,Best,Best,Poor,Poor
15363,Poor,Best,Best,Best,Best,Poor,Poor
15366,Fair,Good,Best,Best,Best,Poor,Poor
15367,Poor,Good,Best,Best,Best,Poor,Poor
15369,Good,Fair,Best,Best,Best,Poor,Poor
15370,Fair,Fair,Best,Best,Best,Poor,Poor
